,order_id,booker_id,product_type,sales_channel,ticket_count,pricing_currency,pricing_average_ticket_price,pricing_total_gross,customer_country,customer_region,customer_city,customer_postal_code,performance_show_name,performance_starts_at,purchase_purchased_at,purchase_lead_time_days,purchase_weeks_prior_to_performance
18,1071589,121378,Dinner & Show,Group Order,5,USD,66.22,331.11,United States,Minnesota,Maple Grove,55369,Biopic Title 2,2023-07-19 13:00:00,2022-09-26 13:38:00,296,42
19,1071589,121378,Dinner & Show,Group Order,4,USD,66.22,264.88,United States,Minnesota,Maple Grove,55369,Biopic Title 2,2023-07-19 13:00:00,2022-09-26 13:38:00,296,42
20,1071748,744683,Dinner & Show,Web Order,4,USD,101.87,407.48,United States,Minnesota,Cannon Falls,55009,Family Show,2025-04-26 13:00:00,2022-09-27 15:38:00,942,135
21,1073186,676881,Dinner & Show,Web Order,4,USD,100.57,402.28,United States,South Dakota,Roslyn,57261,Biopic Title 2,2023-08-05 13:00:00,2022-10-05 20:13:00,304,43
22,1074401,42719,Dinner & Show,Phone Order,4,USD,84.91,339.62,United States,Minnesota,Ramsey,55303,Biopic Title 2,2023-06-21 13:00:00,2022-10-12 13:17:00,252,36
23,1075513,546260,Dinner & Show,Phone Order,4,USD,104.51,418.03,United States,Minnesota,Woodbury,55125,Biopic Title 2,2023-11-12 18:30:00,2022-10-18 11:57:00,390,56
24,1075513,546260,Dinner & Show,Phone Order,3,USD,104.51,313.53,United States,Minnesota,Woodbury,55125,Biopic Title 2,2023-11-12 18:30:00,2022-10-18 11:57:00,390,56
25,1075584,708027,Dinner & Show,Group Order,6,USD,66.17,397.05,United States,Wisconsin,Hixton,54635,Biopic Title 2,2023-06-21 13:00:00,2022-10-18 15:43:00,246,35
26,1075584,708027,Dinner & Show,Group Order,4,USD,66.17,264.7,United States,Wisconsin,Hixton,54635,Biopic Title 2,2023-06-21 13:00:00,2022-10-18 15:43:00,246,35
27,1075894,600467,Dinner & Show,Web Order,6,USD,68.25,409.48,United States,Minnesota,Rogers,55374,Biopic Title 2,2023-08-30 20:00:00,2022-10-19 19:08:00,315,45
28,1076013,747448,Dinner & Show,Web Order,3,USD,86.01,258.02,United States,Minnesota,Bloomington,55420,Biopic Title 2,2023-07-05 13:00:00,2022-10-20 11:00:00,258,37
29,1079913,687816,Dinner & Show,Group Order,6,USD,65.45,392.69,United States,Iowa,Mason City,50401,Biopic Title 2,2023-06-21 13:00:00,2022-11-08 11:59:00,225,32
30,1079913,687816,Dinner & Show,Group Order,4,USD,65.45,261.79,United States,Iowa,Mason City,50401,Biopic Title 2,2023-06-21 13:00:00,2022-11-08 11:59:00,225,32
31,1079920,359527,Dinner & Show,Group Order,6,USD,33.13,198.8,United States,Minnesota,Rochester,55901,Biopic Title 2,2023-06-28 13:00:00,2022-11-08 12:13:00,232,33
32,1079920,359527,Dinner & Show,Group Order,4,USD,33.13,132.53,United States,Minnesota,Rochester,55901,Biopic Title 2,2023-06-28 13:00:00,2022-11-08 12:13:00,232,33
33,1079939,42356,Dinner & Show,Group Order,6,USD,82.8,496.81,United States,Illinois,Naperville,60564,Biopic Title 2,2023-06-28 20:00:00,2022-11-08 13:05:00,232,33
34,1079939,42356,Dinner & Show,Group Order,4,USD,82.8,331.21,United States,Illinois,Naperville,60564,Biopic Title 2,2023-06-28 20:00:00,2022-11-08 13:05:00,232,33
35,1079939,42356,Dinner & Show,Group Order,1,USD,82.8,82.8,United States,Illinois,Naperville,60564,Biopic Title 2,2023-06-28 20:00:00,2022-11-08 13:05:00,232,33
36,1079944,197172,Dinner & Show,Group Order,6,USD,82.68,496.08,United States,Minnesota,Minnetonka,55391,Biopic Title 2,2023-07-30 18:30:00,2022-11-08 13:13:00,264,38
37,1079944,197172,Dinner & Show,Group Order,4,USD,82.68,330.72,United States,Minnesota,Minnetonka,55391,Biopic Title 2,2023-07-30 18:30:00,2022-11-08 13:13:00,264,38
38,1079947,121279,Dinner & Show,Group Order,6,USD,65.8,394.81,United States,Minnesota,Austin,55912,Biopic Title 2,2023-07-26 13:00:00,2022-11-08 13:18:00,260,37
39,1079947,121279,Dinner & Show,Group Order,4,USD,65.8,263.21,United States,Minnesota,Austin,55912,Biopic Title 2,2023-07-26 13:00:00,2022-11-08 13:18:00,260,37
40,1079951,18826,Dinner & Show,Group Order,6,USD,92.37,554.25,United States,Minnesota,St Paul,55102,Biopic Title 2,2023-08-20 18:30:00,2022-11-08 13:26:00,285,41
41,1079954,687816,Dinner & Show,Group Order,6,USD,64.87,389.2,United States,Iowa,Mason City,50401,Biopic Title 2,2023-08-23 13:00:00,2022-11-08 13:32:00,288,41
42,1079954,687816,Dinner & Show,Group Order,4,USD,64.87,259.47,United States,Iowa,Mason City,50401,Biopic Title 2,2023-08-23 13:00:00,2022-11-08 13:32:00,288,41
43,1079954,687816,Dinner & Show,Group Order,1,USD,64.87,64.87,United States,Iowa,Mason City,50401,Biopic Title 2,2023-08-23 13:00:00,2022-11-08 13:32:00,288,41
44,1079957,121147,Dinner & Show,Group Order,6,USD,51.33,307.98,United States,Nebraska,Norfolk,68701,Biopic Title 2,2023-08-25 20:00:00,2022-11-08 13:44:00,290,41
45,1079957,121147,Dinner & Show,Group Order,6,USD,51.33,307.98,United States,Nebraska,Norfolk,51041,Biopic Title 2,2023-08-25 20:00:00,2022-11-08 13:44:00,290,41
46,1079957,121147,Dinner & Show,Group Order,4,USD,51.33,205.32,United States,Nebraska,Norfolk,68701,Biopic Title 2,2023-08-25 20:00:00,2022-11-08 13:44:00,290,41
47,1079957,121147,Dinner & Show,Group Order,4,USD,51.33,205.32,United States,Nebraska,Norfolk,51041,Biopic Title 2,2023-08-25 20:00:00,2022-11-08 13:44:00,290,41
48,1079984,122697,Dinner & Show,Group Order,6,USD,66.27,397.59,United States,Wisconsin,Strum,54770,Biopic Title 2,2023-09-13 13:00:00,2022-11-08 14:39:00,309,44
49,1079984,122697,Dinner & Show,Group Order,4,USD,66.27,265.06,United States,Wisconsin,Strum,54770,Biopic Title 2,2023-09-13 13:00:00,2022-11-08 14:39:00,309,44
50,1079988,484726,Dinner & Show,Group Order,6,USD,81.89,491.35,United States,Minnesota,Gaylord,55334,Biopic Title 2,2023-09-14 20:00:00,2022-11-08 14:46:00,310,44
51,1079988,484726,Dinner & Show,Group Order,2,USD,81.89,163.78,United States,Minnesota,Gaylord,55334,Biopic Title 2,2023-09-14 20:00:00,2022-11-08 14:46:00,310,44
52,1080142,479,Dinner & Show,Group Order,6,USD,69.88,419.31,United States,Minnesota,Owatonna,55060,Biopic Title 2,2023-12-06 13:00:00,2022-11-09 09:25:00,392,56
53,1080142,479,Dinner & Show,Group Order,4,USD,69.88,279.54,United States,Minnesota,Owatonna,55060,Biopic Title 2,2023-12-06 13:00:00,2022-11-09 09:25:00,392,56
54,1080142,479,Dinner & Show,Group Order,1,USD,69.88,69.88,United States,Minnesota,Owatonna,55060,Biopic Title 2,2023-12-06 13:00:00,2022-11-09 09:25:00,392,56
55,1080145,54421,Dinner & Show,Group Order,6,USD,73.05,438.32,United States,Minnesota,Saint Cloud,56304,Biopic Title 2,2023-06-24 13:00:00,2022-11-09 09:42:00,227,32
56,1080147,27326,Dinner & Show,Group Order,6,USD,64.45,386.67,United States,Minnesota,Stillwater,55082,Biopic Title 2,2023-09-27 13:00:00,2022-11-09 09:53:00,322,46
57,1080147,27326,Dinner & Show,Group Order,5,USD,64.45,322.23,United States,Minnesota,Stillwater,55082,Biopic Title 2,2023-09-27 13:00:00,2022-11-09 09:53:00,322,46
58,1080147,27326,Dinner & Show,Group Order,4,USD,64.45,257.78,United States,Minnesota,Stillwater,55082,Biopic Title 2,2023-09-27 13:00:00,2022-11-09 09:53:00,322,46
59,1080147,27326,Dinner & Show,Group Order,3,USD,64.45,193.34,United States,Minnesota,Stillwater,55082,Biopic Title 2,2023-09-27 13:00:00,2022-11-09 09:53:00,322,46
60,1080147,27326,Dinner & Show,Group Order,2,USD,64.45,128.89,United States,Minnesota,Stillwater,55082,Biopic Title 2,2023-09-27 13:00:00,2022-11-09 09:53:00,322,46
61,1080148,124522,Dinner & Show,Group Order,6,USD,65.89,395.31,United States,Minnesota,Breckenridge,56520,Biopic Title 2,2023-10-04 13:00:00,2022-11-09 10:04:00,329,47
62,1080148,124522,Dinner & Show,Group Order,5,USD,65.89,329.43,United States,Minnesota,Breckenridge,56520,Biopic Title 2,2023-10-04 13:00:00,2022-11-09 10:04:00,329,47
63,1080148,124522,Dinner & Show,Group Order,4,USD,65.89,263.54,United States,Minnesota,Breckenridge,56520,Biopic Title 2,2023-10-04 13:00:00,2022-11-09 10:04:00,329,47
64,1080148,124522,Dinner & Show,Group Order,2,USD,65.89,131.77,United States,Minnesota,Breckenridge,56520,Biopic Title 2,2023-10-04 13:00:00,2022-11-09 10:04:00,329,47
65,1080153,14405,Dinner & Show,Group Order,6,USD,66.22,397.33,United States,Minnesota,Willmar,56201,Biopic Title 2,2023-10-11 13:00:00,2022-11-09 10:13:00,336,48
66,1080153,14405,Dinner & Show,Group Order,5,USD,66.22,331.11,United States,Minnesota,Willmar,56201,Biopic Title 2,2023-10-11 13:00:00,2022-11-09 10:13:00,336,48
67,1080153,14405,Dinner & Show,Group Order,4,USD,66.22,264.88,United States,Minnesota,Willmar,56201,Biopic Title 2,2023-10-11 13:00:00,2022-11-09 10:13:00,336,48
68,1080155,122116,Dinner & Show,Group Order,5,USD,76.87,384.35,United States,Minnesota,Saint Paul,55102,Biopic Title 2,2023-10-21 13:00:00,2022-11-09 10:18:00,346,49
69,1080155,122116,Dinner & Show,Group Order,4,USD,76.87,307.48,United States,Minnesota,Saint Paul,55102,Biopic Title 2,2023-10-21 13:00:00,2022-11-09 10:18:00,346,49
70,1080160,27326,Dinner & Show,Group Order,6,USD,64.68,388.07,United States,Minnesota,Stillwater,55082,Biopic Title 2,2023-10-25 13:00:00,2022-11-09 10:28:00,350,50
71,1080160,27326,Dinner & Show,Group Order,4,USD,64.68,258.71,United States,Minnesota,Stillwater,55082,Biopic Title 2,2023-10-25 13:00:00,2022-11-09 10:28:00,350,50
72,1080160,27326,Dinner & Show,Group Order,2,USD,64.68,129.36,United States,Minnesota,Stillwater,55082,Biopic Title 2,2023-10-25 13:00:00,2022-11-09 10:28:00,350,50
73,1080166,123496,Dinner & Show,Group Order,6,USD,73.18,439.08,United States,Minnesota,Owatonna,55060,Biopic Title 2,2023-11-11 13:00:00,2022-11-09 10:39:00,367,52
74,1080166,123496,Dinner & Show,Group Order,4,USD,73.18,292.72,United States,Minnesota,Owatonna,55060,Biopic Title 2,2023-11-11 13:00:00,2022-11-09 10:39:00,367,52
75,1080173,24797,Dinner & Show,Group Order,6,USD,75.64,453.83,United States,Minnesota,Chanhassen,55317,Biopic Title 2,2023-11-15 13:00:00,2022-11-09 10:50:00,371,53
76,1080173,24797,Dinner & Show,Group Order,4,USD,75.64,302.56,United States,Minnesota,Chanhassen,55317,Biopic Title 2,2023-11-15 13:00:00,2022-11-09 10:50:00,371,53
77,1080176,396128,Dinner & Show,Group Order,6,USD,110.16,660.96,United States,Iowa,Rock Rapids,51246,Biopic Title 2,2023-09-16 20:00:00,2022-11-09 10:56:00,311,44
78,1080176,396128,Dinner & Show,Group Order,5,USD,110.16,550.8,United States,Iowa,Rock Rapids,51246,Biopic Title 2,2023-09-16 20:00:00,2022-11-09 10:56:00,311,44
79,1080176,396128,Dinner & Show,Group Order,4,USD,110.16,440.64,United States,Iowa,Rock Rapids,51246,Biopic Title 2,2023-09-16 20:00:00,2022-11-09 10:56:00,311,44
80,1080188,122236,Dinner & Show,Group Order,6,USD,66.43,398.58,United States,Minnesota,Owatonna,55060,Biopic Title 2,2023-07-12 13:00:00,2022-11-09 11:14:00,245,35
81,1080188,122236,Dinner & Show,Group Order,4,USD,66.43,265.72,United States,Minnesota,Owatonna,55060,Biopic Title 2,2023-07-12 13:00:00,2022-11-09 11:14:00,245,35
82,1080190,122236,Dinner & Show,Group Order,6,USD,66.43,398.58,United States,Minnesota,Owatonna,55060,Biopic Title 2,2023-09-06 13:00:00,2022-11-09 11:24:00,301,43
83,1080190,122236,Dinner & Show,Group Order,4,USD,66.43,265.72,United States,Minnesota,Owatonna,55060,Biopic Title 2,2023-09-06 13:00:00,2022-11-09 11:24:00,301,43
84,1080210,123432,Dinner & Show,Group Order,6,USD,65.01,390.03,United States,Minnesota,Fergus Falls,56538,Biopic Title 2,2023-08-09 13:00:00,2022-11-09 11:57:00,273,39
85,1080210,123432,Dinner & Show,Group Order,4,USD,65.01,260.02,United States,Minnesota,Fergus Falls,56538,Biopic Title 2,2023-08-09 13:00:00,2022-11-09 11:57:00,273,39
86,1080210,123432,Dinner & Show,Group Order,3,USD,65.01,195.02,United States,Minnesota,Fergus Falls,56538,Biopic Title 2,2023-08-09 13:00:00,2022-11-09 11:57:00,273,39
87,1080277,181764,Dinner & Show,Group Order,6,USD,66.22,397.33,United States,Minnesota,Little Falls,56345,Biopic Title 2,2023-08-02 13:00:00,2022-11-09 13:20:00,266,38
88,1080277,181764,Dinner & Show,Group Order,5,USD,66.22,331.11,United States,Minnesota,Little Falls,56345,Biopic Title 2,2023-08-02 13:00:00,2022-11-09 13:20:00,266,38
89,1080277,181764,Dinner & Show,Group Order,4,USD,66.22,264.88,United States,Minnesota,Little Falls,56345,Biopic Title 2,2023-08-02 13:00:00,2022-11-09 13:20:00,266,38
90,1080323,718724,Dinner & Show,Group Order,4,USD,61.2,244.8,United States,Minnesota,Rosemount,55068,Biopic Title 2,2023-11-08 13:00:00,2022-11-09 15:19:00,364,52
91,1080441,121074,Dinner & Show,Group Order,6,USD,65.8,394.77,United States,Minnesota,Hutchinson,55350,Biopic Title 2,2023-06-28 13:00:00,2022-11-10 09:22:00,230,33
92,1080441,121074,Dinner & Show,Group Order,5,USD,65.8,328.98,United States,Minnesota,Hutchinson,55350,Biopic Title 2,2023-06-28 13:00:00,2022-11-10 09:22:00,230,33
93,1080441,121074,Dinner & Show,Group Order,4,USD,65.8,263.18,United States,Minnesota,Hutchinson,55350,Biopic Title 2,2023-06-28 13:00:00,2022-11-10 09:22:00,230,33
94,1080450,275026,Dinner & Show,Group Order,6,USD,66.59,399.54,United States,Minnesota,Springfield,56087,Biopic Title 2,2023-08-16 13:00:00,2022-11-10 10:07:00,279,40
95,1080450,275026,Dinner & Show,Group Order,4,USD,66.59,266.36,United States,Minnesota,Springfield,56087,Biopic Title 2,2023-08-16 13:00:00,2022-11-10 10:07:00,279,40
96,1080450,275026,Dinner & Show,Group Order,3,USD,66.59,199.77,United States,Minnesota,Springfield,56087,Biopic Title 2,2023-08-16 13:00:00,2022-11-10 10:07:00,279,40
97,1080477,122883,Dinner & Show,Group Order,6,USD,38.04,228.23,United States,Minnesota,Nisswa,56468,Biopic Title 2,2023-06-28 13:00:00,2022-11-10 11:29:00,230,33
98,1080477,122883,Dinner & Show,Group Order,6,USD,38.04,228.23,United States,Minnesota,Nisswa,56401,Biopic Title 2,2023-06-28 13:00:00,2022-11-10 11:29:00,230,33
99,1080477,122883,Dinner & Show,Group Order,4,USD,38.04,152.15,United States,Minnesota,Nisswa,56401,Biopic Title 2,2023-06-28 13:00:00,2022-11-10 11:29:00,230,33
100,1080477,122883,Dinner & Show,Group Order,4,USD,38.04,152.15,United States,Minnesota,Nisswa,56468,Biopic Title 2,2023-06-28 13:00:00,2022-11-10 11:29:00,230,33
101,1080477,122883,Dinner & Show,Group Order,2,USD,38.04,76.08,United States,Minnesota,Nisswa,56401,Biopic Title 2,2023-06-28 13:00:00,2022-11-10 11:29:00,230,33
102,1080477,122883,Dinner & Show,Group Order,2,USD,38.04,76.08,United States,Minnesota,Nisswa,56468,Biopic Title 2,2023-06-28 13:00:00,2022-11-10 11:29:00,230,33
103,1080487,121762,Dinner & Show,Group Order,10,USD,64.97,649.72,United States,Wisconsin,Spencer,54479,Biopic Title 2,2023-07-12 13:00:00,2022-11-10 11:47:00,244,35
104,1080487,121762,Dinner & Show,Group Order,6,USD,64.97,389.83,United States,Wisconsin,Spencer,54479,Biopic Title 2,2023-07-12 13:00:00,2022-11-10 11:47:00,244,35
105,1080487,121762,Dinner & Show,Group Order,4,USD,64.97,259.89,United States,Wisconsin,Spencer,54479,Biopic Title 2,2023-07-12 13:00:00,2022-11-10 11:47:00,244,35
106,1080487,121762,Dinner & Show,Group Order,1,USD,64.97,64.97,United States,Wisconsin,Spencer,54479,Biopic Title 2,2023-07-12 13:00:00,2022-11-10 11:47:00,244,35
107,1080517,121166,Dinner & Show,Group Order,6,USD,65.1,390.62,United States,Minnesota,Red Wing,55066,Biopic Title 2,2023-06-28 13:00:00,2022-11-10 13:04:00,230,33
108,1080517,121166,Dinner & Show,Group Order,4,USD,65.1,260.41,United States,Minnesota,Red Wing,55066,Biopic Title 2,2023-06-28 13:00:00,2022-11-10 13:04:00,230,33
109,1080517,121166,Dinner & Show,Group Order,1,USD,65.1,65.1,United States,Minnesota,Red Wing,55066,Biopic Title 2,2023-06-28 13:00:00,2022-11-10 13:04:00,230,33
110,1080553,121766,Dinner & Show,Group Order,6,USD,73.51,441.05,United States,Minnesota,Benson,56215,Biopic Title 2,2023-09-30 13:00:00,2022-11-10 14:48:00,324,46
111,1080553,121766,Dinner & Show,Group Order,4,USD,73.51,294.03,United States,Minnesota,Benson,56215,Biopic Title 2,2023-09-30 13:00:00,2022-11-10 14:48:00,324,46
112,1080565,121954,Dinner & Show,Group Order,6,USD,66.5,399.02,United States,Minnesota,Milaca,56353,Biopic Title 2,2023-11-08 13:00:00,2022-11-10 15:21:00,363,52
113,1080565,121954,Dinner & Show,Group Order,1,USD,66.5,66.5,United States,Minnesota,Milaca,56353,Biopic Title 2,2023-11-08 13:00:00,2022-11-10 15:21:00,363,52
114,1080685,181764,Dinner & Show,Group Order,6,USD,66.22,397.33,United States,Minnesota,Little Falls,56345,Biopic Title 2,2023-08-09 13:00:00,2022-11-11 09:53:00,271,39
115,1080685,181764,Dinner & Show,Group Order,5,USD,66.22,331.11,United States,Minnesota,Little Falls,56345,Biopic Title 2,2023-08-09 13:00:00,2022-11-11 09:53:00,271,39
116,1080685,181764,Dinner & Show,Group Order,4,USD,66.22,264.88,United States,Minnesota,Little Falls,56345,Biopic Title 2,2023-08-09 13:00:00,2022-11-11 09:53:00,271,39
117,1080782,143627,Dinner & Show,Group Order,6,USD,66.17,397.05,United States,Minnesota,Red Wing,55066,Biopic Title 2,2023-09-20 13:00:00,2022-11-11 13:54:00,313,45
118,1080782,143627,Dinner & Show,Group Order,4,USD,66.17,264.7,United States,Minnesota,Red Wing,55066,Biopic Title 2,2023-09-20 13:00:00,2022-11-11 13:54:00,313,45
119,1081256,751070,Dinner & Show,Web Order,5,USD,64.28,321.4,United States,Minnesota,Chanhassen,55317,Biopic Title 2,2023-09-19 20:00:00,2022-11-13 22:26:00,310,44
120,1081433,121547,Dinner & Show,Group Order,6,USD,110.16,660.96,United States,Minnesota,Plymouth,55447,Biopic Title 2,2024-02-24 20:00:00,2022-11-14 14:44:00,467,67
121,1081433,121547,Dinner & Show,Group Order,5,USD,110.16,550.8,United States,Minnesota,Plymouth,55447,Biopic Title 2,2024-02-24 20:00:00,2022-11-14 14:44:00,467,67
122,1081433,121547,Dinner & Show,Group Order,4,USD,110.16,440.64,United States,Minnesota,Plymouth,55447,Biopic Title 2,2024-02-24 20:00:00,2022-11-14 14:44:00,467,67
123,1081433,121547,Dinner & Show,Group Order,3,USD,110.16,330.48,United States,Minnesota,Plymouth,55447,Biopic Title 2,2024-02-24 20:00:00,2022-11-14 14:44:00,467,67
124,1081456,481355,Dinner & Show,Group Order,6,USD,65.97,395.83,United States,Minnesota,Owatonna,55060,Biopic Title 2,2023-10-18 13:00:00,2022-11-14 15:29:00,338,48
125,1081456,481355,Dinner & Show,Group Order,4,USD,65.97,263.88,United States,Minnesota,Owatonna,55060,Biopic Title 2,2023-10-18 13:00:00,2022-11-14 15:29:00,338,48
126,1081485,56046,Dinner & Show,Group Order,6,USD,44.12,264.69,United States,Minnesota,New Ulm,56073,Biopic Title 2,2023-07-23 18:30:00,2022-11-14 16:46:00,251,36
127,1081485,56046,Dinner & Show,Group Order,5,USD,44.12,220.58,United States,Minnesota,New Ulm,56073,Biopic Title 2,2023-07-23 18:30:00,2022-11-14 16:46:00,251,36
128,1081485,56046,Dinner & Show,Group Order,4,USD,44.12,176.46,United States,Minnesota,New Ulm,56073,Biopic Title 2,2023-07-23 18:30:00,2022-11-14 16:46:00,251,36
129,1081492,56046,Dinner & Show,Group Order,6,USD,43.81,262.85,United States,Minnesota,New Ulm,56073,Biopic Title 2,2023-10-22 18:30:00,2022-11-14 16:54:00,342,49
130,1081492,56046,Dinner & Show,Group Order,4,USD,43.81,175.24,United States,Minnesota,New Ulm,56073,Biopic Title 2,2023-10-22 18:30:00,2022-11-14 16:54:00,342,49
131,1081644,331475,Dinner & Show,Group Order,6,USD,68.72,412.32,United States,Minnesota,Plymouth,55446,Biopic Title 2,2023-10-11 13:00:00,2022-11-15 11:18:00,330,47
132,1081644,331475,Dinner & Show,Group Order,4,USD,68.72,274.88,United States,Minnesota,Plymouth,55446,Biopic Title 2,2023-10-11 13:00:00,2022-11-15 11:18:00,330,47
133,1081694,708051,Dinner & Show,Group Order,6,USD,68.72,412.32,United States,Minnesota,St Louis Park,55416,Biopic Title 2,2023-11-08 13:00:00,2022-11-15 13:07:00,358,51
134,1081694,708051,Dinner & Show,Group Order,4,USD,68.72,274.88,United States,Minnesota,St Louis Park,55416,Biopic Title 2,2023-11-08 13:00:00,2022-11-15 13:07:00,358,51
135,1081694,708051,Dinner & Show,Group Order,2,USD,68.72,137.44,United States,Minnesota,St Louis Park,55416,Biopic Title 2,2023-11-08 13:00:00,2022-11-15 13:07:00,358,51
136,1081704,121473,Dinner & Show,Group Order,6,USD,64.73,388.35,United States,Minnesota,Spring Lake Park,55432,Biopic Title 2,2023-09-13 13:00:00,2022-11-15 13:24:00,302,43
137,1081704,121473,Dinner & Show,Group Order,5,USD,64.73,323.63,United States,Minnesota,Spring Lake Park,55432,Biopic Title 2,2023-09-13 13:00:00,2022-11-15 13:24:00,302,43
138,1081704,121473,Dinner & Show,Group Order,4,USD,64.73,258.9,United States,Minnesota,Spring Lake Park,55432,Biopic Title 2,2023-09-13 13:00:00,2022-11-15 13:24:00,302,43
139,1081748,612963,Dinner & Show,Group Order,6,USD,65.97,395.83,United States,Wisconsin,Luck,54853,Biopic Title 2,2023-06-21 13:00:00,2022-11-15 14:53:00,218,31
140,1081748,612963,Dinner & Show,Group Order,4,USD,65.97,263.88,United States,Wisconsin,Luck,54853,Biopic Title 2,2023-06-21 13:00:00,2022-11-15 14:53:00,218,31
141,1082048,225175,Dinner & Show,Group Order,6,USD,34.36,206.16,United States,Minnesota,Minneapolis,55418,Biopic Title 2,2023-10-18 13:00:00,2022-11-16 15:33:00,336,48
142,1082048,225175,Dinner & Show,Group Order,6,USD,34.36,206.16,United States,Minnesota,Minneapolis,55411,Biopic Title 2,2023-10-18 13:00:00,2022-11-16 15:33:00,336,48
143,1082048,225175,Dinner & Show,Group Order,4,USD,34.36,137.44,United States,Minnesota,Minneapolis,55418,Biopic Title 2,2023-10-18 13:00:00,2022-11-16 15:33:00,336,48
144,1082048,225175,Dinner & Show,Group Order,4,USD,34.36,137.44,United States,Minnesota,Minneapolis,55411,Biopic Title 2,2023-10-18 13:00:00,2022-11-16 15:33:00,336,48
145,1082048,225175,Dinner & Show,Group Order,3,USD,34.36,103.08,United States,Minnesota,Minneapolis,55411,Biopic Title 2,2023-10-18 13:00:00,2022-11-16 15:33:00,336,48
146,1082048,225175,Dinner & Show,Group Order,3,USD,34.36,103.08,United States,Minnesota,Minneapolis,55418,Biopic Title 2,2023-10-18 13:00:00,2022-11-16 15:33:00,336,48
147,1082160,121045,Dinner & Show,Group Order,6,USD,65.1,390.62,United States,Minnesota,Rochester,55901,Biopic Title 2,2023-10-11 13:00:00,2022-11-17 09:28:00,328,47
148,1082160,121045,Dinner & Show,Group Order,4,USD,65.1,260.41,United States,Minnesota,Rochester,55901,Biopic Title 2,2023-10-11 13:00:00,2022-11-17 09:28:00,328,47
